Ocotea costulata;Abacatirana;m;r;am;6.6;3.9;11.6;0.50;0.62;0.94;9500;65.5;32.6;5.4;8.6;4830;4250;3.4;470;;Ocotea costulara;10100;92.6;52.7;7.3;11.2;5650;4650;3.4;470;1.7
Pouteria oppositifolia;Abiu-branco;f;in;ma;7.8;4.6;12.5;0.65;0.83;1.20;10900;88.1;44.3;7.4;;6770;6430;4.5;;;Pouteria oppositifolia;;;;;;;;;;1.7
Prieurella prieurii ;Abiu-de-casca-fina;m;d;ma;13.0;7.7;20.3;0.83;0.99;;16900;126.8;59.1;12.4;13.8;10310;10530;4.8;650;;Prieurella prieuria;17500;177.4;76.0;15.3;20.0;12120;12360;4.3;;1.7
Pouteria egregia;Abiu-pitomba;mf;i;ma;11.2;6.8;15.7;0.84;1.12;1.23;15300;120.7;61.8;10.1;12.9;10970;11670;4.5;770;;Pouteria egregia;17900;175.2;90.7;15.0;19.4;14810;13380;5.8;900;1.6
Diploon venezuelana;Abiurana;f;d;ma;10.1;7.1;15.7;0.85;1.13;1.20;14900;118.8;57.1;16.3;12.8;9120;9490;5.4;860;;Diploon venezuelana;18100;190.6;98.3;19.8;20.0;12060;13360;3.2;550;1.4
Pouteria guianensis;Abiurana;m;o;ve;9.0;5.1;13.3;0.83;0.94;1.28;15200;119.1;50.4;21.2;11.6;8350;8530;5.6;;;Pouteria guianensis;;143.3;69.4;;12.9;12030;13250;6.1;;1.8
Micropholis guianensis;Abiurana-branca;f;d;ma;11.2;6.6;16.6;0.67;0.90;1.19;12300;87.7;36.6;5.9;9.3;6770;6140;2.5;550;;Micropholis guianensis;15200;132.9;76.1;11.0;8.1;9780;7280;2.5;760;1.7
Micropholis mensalis;Abiurana-branca;f;i;ma;9.6;5.2;14.7;0.60;0.74;1.11;12800;80.5;34.9;4.7;9.7;5270;4780;4.9;560;;Micropholis mensalis;13700;122.5;58.9;9.6;13.7;9780;7280;4.2;640;1.8
Pouteria gongrijpii;Abiurana-branca;f;d;ma;10.1;4.5;15.0;0.72;0.95;1.24;13400;101.0;43.1;9.5;11.9;7540;7680;4.5;710;;Pouteria gongrijpii;15600;147.3;77.0;12.8;18.0;11900;10870;4.9;800;2.2
Pouteria caimito;Abiurana-vermelha;mf;in;ve;9.5;5.5;14.9;0.85;0.91;1.24;15200;119.1;50.4;21.2;11.6;8350;8530;4.5;530;;Pouteria caimito;14900;152.2;78.2;12.9;11.2;13130;11180;9.0;1030;1.7
Pouteria caimito;Abiurana-vermelha;mf;in;ve;9.4;5.3;14.5;0.88;1.15;1.28;16300;133.3;66.4;14.0;14.6;10340;11530;5.4;700;;Pouteria caimito;17900;171.8;89.4;16.6;16.7;13500;10300;5.0;580;1.8
Hura creptans;Açacu;m;r;br;5.2;3.7;7.5;0.39;0.48;1.08;6500;34.8;16.1;2.6;5.6;2120;1760;2.4;300;;Hura creptans;8600;69.0;33.6;4.8;7.1;3920;2830;2.6;340;1.4
Lueheopsis duckeana;Açoita-cavalo;mf;r;ma;9.5;4.6;13.3;0.62;0.80;1.14;12500;82.3;35.3;5.9;9.3;5770;5500;3.9;600;;Lueheopis duckeana;14500;125.6;63.7;9.4;12.8;9730;8170;4.4;470;2.1
Lueheopsis duckeana;Açoita-cavalo;mf;r;ma;9.3;4.7;13.7;0.64;0.83;1.12;12200;81.4;38.2;6.2;8.4;6080;6000;3.8;;;Lueheopis duckeana;13800;127.1;61.0;10.9;12.0;9040;7860;4.7;;2.0
Parahancornia amapa;Amapá-amargoso;f;r;br;6.8;3.7;10.7;0.46;0.56;1.13;9300;55.3;25.2;3.3;7.0;3100;2510;3.4;470;;Parahancornia amapa;11300;90.8;46.8;6.1;9.8;5400;3580;4.0;520;1.8
Brosimum rubescens;Amapá-amargoso/Conduru;m;r;ve;8.1;5.3;12.0;0.71;0.81;1.24;14300;104.8;46.9;6.3;12.6;7180;6940;4.0;630;;Brosimum rubescens;16700;150.4;78.1;12.6;12.8;10860;9530;4.0;580;1.5
Brosimum rubescens;Amapá-amargoso/Conduru;m;r;ve;7.8;5.3;13.2;0.73;0.94;;13000;106.3;52.8;11.9;11.4;7790;7160;4.1;;;Brosimum rubescens;14900;139.4;72.7;12.5;13.7;10700;9180;4.2;;1.5
Brosimum parinarioides;Amapá-doce;m;r;ma;7.7;4.5;12.6;0.57;0.73;1.13;9000;68.8;34.3;5.5;8.0;4940;4500;3.9;;;Brosimum parinarioides;11500;104.3;58.1;8.2;10.2;7340;5670;3.0;;1.7
Brosimum potabile;Amapá-doce;m;r;ma;6.8;4.1;11.9;0.53;0.67;1.13;8900;67.9;32.5;4.1;7.6;4640;4320;3.6;;;Brosimum potabile;11000;99.1;56.1;8.4;10.4;7390;5370;3.2;;1.7
Maclura tinctoria;Amoreira;m;r;la;5.9;3.2;9.4;0.73;0.91;1.22;11300;89.9;53.1;15.1;11.0;7160;7790;5.2;630;;Maclura tinctoria;12900;156.5;87.8;22.8;15.9;11640;10820;5.4;700;1.8
Symphonia globulifera;Anani;m;d;ma;7.9;4.5;13.2;0.58;0.75;1.12;11700;78.0;38.8;5.9;8.9;5300;5270;4.1;450;;Symphonia globulifera;14000;111.4;62.5;7.3;10.6;6800;5710;3.3;330;1.8
Andira retusa;Andirá-uxi;g;r;ma;7.9;5.6;12.5;0.67;0.70;1.18;11000;86.1;44.3;7.3;10.8;7300;7530;4.7;630;;Andira retusa;13600;124.3;62.6;11.3;14.1;9850;8110;4.7;;1.4
Carapa guianensis;Andiroba;m;i;ma;7.0;4.5;11.8;0.56;0.71;;9100;72.9;37.0;6.7;8.8;5360;4650;5.2;;;Carapa guianensis;10500;96.7;54.5;9.7;9.8;8240;6400;;;1.5
Carapa guianensis;Andiroba;m;i;ma;8.1;4.4;12.6;0.59;0.76;1.03;9500;75.2;37.0;5.6;9.6;5830;5260;5.0;;;Carapa guianensis;12000;109.3;60.9;9.0;11.1;8410;6420;4.1;;1.8
Dicorynia paraensis;Angélica-do-pará;g;r;ci;7.2;3.6;11.5;0.45;0.58;1.09;7700;54.6;25.2;4.4;7.3;4280;3860;3.3;410;;Dicorynia paraensis ;9100;74.8;45.3;5.8;10.7;6080;4290;3.7;500;2.0
Vatairea guianensis;Angelim-amargoso;g;i;ma;9.7;4.8;14.8;0.64;0.83;1.21;11900;78.6;37.7;6.4;9.3;6120;6520;3.3;500;;Vatairea guianensis;13600;112.9;58.5;8.1;10.2;7500;6950;3.9;540;2.0
Vatairea paraensis;Angelim-amargoso;g;i;ma;9.8;4.8;14.0;0.78;1.02;1.24;13700;121.9;55.9;8.1;14.5;6950;7450;4.0;700;;Vatairea paraensis;15300;151.3;79.3;13.1;16.1;9340;9860;4.2;650;2.0
Vatairea sericea;Angelim-amargoso;mg;in;ma;8.4;4.5;13.9;0.71;0.90;1.22;13400;100.3;50.7;8.4;11.6;7410;7620;4.3;550;;Vatairea sericea;15200;138.1;66.1;11.4;14.1;7800;8050;3.6;500;1.9
Vatairea sericea ;Angelim-amargoso;m-g;i;;9.0;6.0;15.0;0.73;0.90;1.22;14400;102.1;59.7;10.1;11.6;7740;7870;3.1;640;;Vatairea sericea ;15000;133.6;81.9;14.0;14.3;12090;11610;3.6;620;1.5
Vataireopsis speciosa;Angelim-amargoso;g;r;ma;6.4;3.0;9.9;0.62;0.74;1.17;11900;103.2;;;;;;;;;Vataireopsis speciosa;11800;103.7;54.1;9.4;8.9;4980;4730;2.4;360;2.1
Hymenolobium sp.;Angelim-da-mata;g;r;ma;7.2;3.7;9.9;0.60;0.72;1.20;10800;82.2;38.8;5.5;10.1;5270;4940;4.4;650;;Hymenolobium sp.;12100;114.1;57.4;11.4;13.3;8300;6450;4.8;560;1.9
Hymenolobium cf. pulcherrimum;Angelim-pedra;g;r;ro;9.0;5.4;13.6;0.60;0.71;1.17;11200;89.5;43.6;5.6;8.9;4980;4870;3.1;510;;Hymenolobium cf.pulcherrimum;12700;114.8;63.9;9.9;12.6;6400;5470;3.6;540;1.7
Hymenolobium modestum;Angelim-pedra;g;r;ve;7.7;4.6;13.5;0.65;0.84;1.19;12800;93.1;44.1;6.8;11.2;6200;6380;4.1;570;;Hymenolobium modestum;13500;120.8;61.1;10.7;14.0;8060;7470;3.9;550;1.7
Hymenolobium nitidum;Angelim-pedra;g;r;ma;7.2;4.3;11.8;0.55;0.69;1.16;10100;65.8;34.1;5.4;8.9;4680;4380;3.7;490;;Hymenolobium nitidum;11800;96.2;53.5;8.6;12.7;7400;5700;3.8;510;1.7
Hymenolobium petraeun;Angelim-pedra;g;r;ma;6.3;4.1;10.1;0.59;0.71;1.19;9600;72.0;38.8;6.5;10.2;5430;5150;4.3;;;Hymenolobium petraeum;11800;111.5;53.3;11.5;12.5;7810;5900;3.9;;1.5
Marmaroxylon racemosum;Angelim-rajado;m;d;am;9.3;5.9;15.2;0.79;0.99;1.26;13900;104.3;52.2;11.5;12.5;9560;10270;4.3;;;Marmaroxylon racemosum;16700;166.8;80.7;19.3;17.6;15180;14410;2.9;;1.6
Andira sp.;Angelim-tinto;g;r;ma;9.5;;14.3;0.67;0.90;1.22;12600;89.2;45.5;7.2;9.1;5340;5620;4.6;600;;Andira sp.;16400;124.5;67.3;11.8;15.1;9840;9020;4.1;640;
Dinizia excelsa;Angelim-vermelho;m;r;ma;9.5;5.7;14.5;0.83;1.09;1.26;15300;122.0;61.5;10.5;13.4;10190;11080;5.3;750;;Dinizia excelsa;17300;160.0;87.3;15.1;18.0;14600;13810;3.9;670;1.7
Aspidosperma desmanthum;Aracanga;m;r;la;9.0;5.8;14.5;0.69;0.82;1.22;12900;93.7;48.0;7.6;11.2;7080;6960;5.2;710;;Aspidosperma desmantum;14900;135.6;69.2;12.1;12.9;9430;7970;3.0;560;1.6
Macrolobium acacifolium;Arapari;m;i;ma;6.4;2.9;10.0;0.54;0.63;1.16;7300;58.7;28.1;5.8;8.5;5050;4950;3.4;430;;Macrolobium acadifolium;9100;81.0;43.6;6.8;10.5;6700;5230;3.4;500;2.2
Macrolobium sp.;Araparirana;m;in;ma;8.8;3.7;11.9;0.53;0.64;1.15;9100;63.4;25.7;5.5;8.8;4580;4760;4.0;420;;Macrolobium sp.;10100;84.1;45.4;7.3;13.2;7510;5480;3.8;510;2.4
Protium sp.;Breu;m;in;ma;9.8;5.1;15.0;0.76;1.00;1.12;14300;111.1;51.7;9.3;12.4;8210;7780;3.8;690;;Protium sp.;15800;140.7;80.5;11.8;18.2;12480;10510;4.8;670;1.9
Dacryodes spp.;Breu-branco;m;r;ma;6.5;4.5;11.6;0.51;0.59;1.04;9300;60.1;29.0;5.0;8.4;4460;3680;4.0;490;;Dacryodes spp.;14300;101.6;47.0;7.0;13.6;6320;4300;4.4;510;1.4
Tetragastris altissima;Breu-manga;m;r;ma;9.0;4.6;13.0;0.74;0.95;1.04;12700;101.7;53.2;10.0;13.0;9780;9000;6.9;710;;Tetragastris altissima;14600;137.3;77.9;15.5;18.3;12250;9840;6.6;700;2.0
Protium tenuifolium;Breu-preto;mf;o;ma;8.4;4.2;12.0;0.63;0.80;1.03;12000;87.4;40.1;7.5;10.3;6650;5630;4.2;640;;Protium tenuifolium;12900;116.4;64.5;9.4;14.9;9160;6880;5.0;610;2.0
Tetragastris panamensis;Breu-preto;mf;in;ma;9.8;5.0;14.9;0.75;0.99;1.23;11900;87.0;42.8;8.0;13.2;8300;8220;4.1;630;;Tetragastris panamensis;14300;126.0;61.7;13.1;19.3;13850;11510;5.1;630;2.0
Tetragastris panamensis;Breu-preto;mf;in;ma;9.9;5.1;15.0;0.77;0.92;1.20;12000;96.8;48.7;10.9;14.7;9050;8710;6.0;740;;Tetragastris panamensis;13500;124.9;70.1;14.4;20.5;14150;12920;5.4;810;1.9
Protium heptaphyllum;Breu-sucuruba;mf;d;ma;8.4;4.1;12.6;0.55;0.70;;9600;65.6;30.2;4.1;8.1;3990;3640;3.4;;;Protium heptaphyllum;10000;86.8;49.0;6.9;10.0;4540;3980;5.5;;2.0
Trattinickia burseraefolia;Breu-sucuruba;m;in;ma;7.2;5.1;11.8;0.44;0.56;0.96;7800;50.7;25.3;3.6;6.7;3570;2570;3.1;;;Trattinickia cf. burseraefolia;11200;65.4;46.0;5.9;8.4;4700;3160;3.7;580;1.4
Trattinickia burseraefolia;Breu-sucuruba;m;in;ma;6.8;4.1;11.7;0.50;0.63;;9900;51.7;28.1;;9.4;4540;;3.2;;;Trattinickia cf. burseraefolia;9800;77.8;45.0;5.5;10.1;5200;;3.6;;1.7
Sapium marmieri;Burra-leiteira;m;d;br;7.5;5.6;10.8;0.39;0.48;1.09;8200;43.3;21.4;2.2;5.4;1320;930;2.1;340;;Sapium marmieri;9100;63.9;33.2;3.8;6.7;2340;1470;2.8;380;1.3
Myrocarpus frondosus;Cabreúva-parda;m;i;ma;7.0;4.4;11.3;0.78;0.92;1.18;13800;125.7;63.9;12.2;14.8;11390;10770;5.1;750;;Myrocarpus frondosus;15400;157.2;87.6;13.8;18.2;15590;13950;4.1;580;1.6
Anacardium microcarpum;Cajuaçu;f;d;ci;6.1;3.5;9.7;0.42;0.46;1.10;7100;36.9;19.8;2.5;6.7;2880;2460;2.3;360;;Anacardium microcarpum;9600;56.8;38.3;4.0;8.3;3870;2600;2.4;360;1.7
Anacardium giganteum;Cajuaçu;m;r;ci;6.0;2.7;8.5;0.38;0.49;1.04;8200;34.3;17.8;2.2;6.1;2450;1960;2.4;320;;Anacardium giganteum;10200;65.4;39.1;4.6;7.9;3740;2290;2.6;330;2.2
Anacardium parvifolium;Cajuaçu;m;r;ci;5.4;3.3;8.6;0.44;0.54;1.13;9000;44.2;22.6;3.0;6.8;2850;2330;3.1;330;;Anacardium parvifololium;10800;73.5;35.3;4.2;9.2;4480;3320;2.3;330;1.6
Anacardium spruceanum;Cajuaçu;m;r;ci;6.0;2.9;9.4;0.42;0.52;1.04;8400;44.6;21.1;3.0;6.2;2770;2240;2.9;;;Anacardium spruceanum;10000;65.4;37.2;4.5;6.9;3900;2540;2.9;;2.1
Anacardium tenuifolium;Cajuí;m;d;ci;4.9;3.1;8.7;0.43;0.52;1.13;7800;34.7;19.8;2.7;6.4;3090;2560;2.2;330;;Anacardium tenuiufolium;9700;50.6;33.5;4.1;9.2;3890;2640;2.5;360;1.6
Cassia fastuosa;Canafistula;mg;r;ma;9.1;6.2;15.3;0.71;0.87;1.22;12700;102.5;49.2;10.8;13.6;8840;8810;5.1;590;;Cassia fastuosa;13400;116.2;73.6;13.0;14.7;12500;11340;3.3;470;1.5
Licania octandra;Caraipé;m;d;ci;11.9;6.1;17.4;0.77;1.04;1.25;13800;94.6;46.0;6.7;10.3;8310;8370;3.1;500;;Licania octandra ;17400;164.2;85.0;11.7;15.5;12440;12490;4.1;490;2.0
Licania gracilipes;Caraiperana;m;i;ci;12.5;5.5;18.1;0.82;1.02;1.23;13900;102.7;45.6;10.8;10.8;9540;10110;3.8;630;;Licania gracilipes;16500;161.6;86.1;15.4;16.1;15100;14940;4.2;640;2.3
Joannesia heveoides;Castanha-de-arara;mg;d;ci;6.1;2.8;9.8;0.39;0.48;1.03;6900;40.3;20.5;2.3;5.3;2490;2020;2.7;;;Joannesia heveoides;8400;64.9;35.1;4.9;6.0;3920;2640;3.3;;2.2
Acioa edulis;Castanha-de-cutia;m;r;ma;10.3;8.0;17.5;0.82;1.04;1.23;13700;102.9;48.7;11.9;10.2;8970;9180;4.3;620;;Acioa edulis;16600;153.6;82.6;16.0;15.8;10740;12230;4.4;620;1.3
Acioa sp.;Castanha-de-cutia;m;o;ma;9.7;5.3;15.1;0.79;0.97;1.20;12600;116.1;52.6;12.5;13.2;9510;9350;5.7;520;;Acioa sp.;14900;142.9;75.7;13.4;17.0;14170;12170;5.0;900;1.8
Couepia robusta;Castanha-de-cutia;m;i;ma;11.0;5.8;15.7;0.83;1.03;1.21;13300;104.1;47.9;12.3;10.9;9840;10800;2.6;530;;Couepia robusta;15900;157.6;80.4;19.4;13.3;13610;14540;4.0;590;1.9
Lecythis pisonis;Castanha-sapucaia;m;r;ve;8.0;5.6;13.9;0.84;1.09;1.25;14700;114.1;54.6;11.9;14.9;9160;10960;5.3;670;;Lecythis pisonis;15100;152.9;71.6;15.2;17.5;13250;12840;4.3;590;1.4
Castilla ulei;Caucho;m;r;br;10.5;5.2;16.1;0.39;0.47;1.07;7400;35.3;18.5;1.8;4.8;1460;1050;2.1;260;;Castilla ullei;9100;56.9;37.5;3.7;6.0;2770;1420;1.9;300;2.0
Micrandra minor;Cauchorana;m;d;ma;7.4;2.5;9.8;0.41;0.48;0.99;9500;51.7;22.2;2.7;6.0;2950;2260;3.5;470;;Micrandra minor;10000;74.9;38.6;4.5;10.5;4640;3190;3.3;370;3.0
Cedrela odorata;Cedro;g;d;ro;12.1;9.1;20.8;0.39;0.47;1.06;8400;44.8;22.9;2.3;6.3;2870;2680;3.0;400;;Cedrella odorata;9900;76.8;53.5;4.6;7.0;6140;3240;2.9;410;1.3
Cedrela sp.;Cedro;g;d;ro;6.2;4.4;9.6;0.43;0.53;;7300;50.2;26.0;3.8;6.0;3550;2550;3.6;;;Cedrela sp.;8100;71.4;44.6;5.8;7.5;3240;4450;3.8;;1.4
Cedrelinga catenaeformis;Cedrorana;g;d;ci;8.0;4.1;11.6;0.45;0.56;1.10;10800;55.5;27.2;2.7;7.7;3850;3640;3.3;440;;Cedrellinga catenaeformis;11400;90.5;63.5;6.2;9.9;5710;4700;4.7;590;2.0
Amburana acreana;Cerejeira;g;r;am;5.4;2.9;8.2;0.47;0.57;1.13;8700;54.4;25.7;4.2;7.8;3310;3400;2.8;390;;Amburana acreana;8800;78.5;69.5;10.7;10.6;5200;3990;3.1;450;1.9
Copaifera duckei;Copaíba;m;d;ma;8.2;4.1;12.5;0.62;0.79;1.11;11300;75.3;35.0;6.5;9.1;5380;5430;4.4;;;Copaifera duckei;12300;117.9;60.0;9.9;12.2;8670;6440;4.4;;2.0
Copaifera multijuga;Copaíba;m;d;ma;6.7;3.6;11.4;0.50;0.63;1.10;11100;67.8;30.7;3.6;8.7;4190;3470;3.6;460;;Copaifera multijuga;12100;86.8;50.8;6.6;11.7;6840;4840;3.3;470;1.9
Copaifera reticulata;Copaíba;m;d;ma;8.2;4.1;12.5;0.62;0.79;1.11;11300;75.3;35.0;6.5;9.1;5380;5430;4.4;;;Copaifera reticulata;12300;117.9;60.0;9.9;12.2;8670;6440;4.4;;2.0
Copaifera sp.;Copaibarana;m;d;ma;7.7;3.9;10.3;0.46;0.58;;6900;50.7;26.0;4.8;6.3;2930;2930;3.7;;;Copaifera sp.;9900;66.7;44.0;7.9;8.1;4140;4140;3.1;;2.0
Copaifera sp.;Copaibarana;m;d;ma;6.8;3.9;10.3;0.47;0.62;;11400;58.3;25.2;3.3;7.6;3010;2890;3.8;520;;Copaifera sp.;12300;87.6;54.9;5.9;9.3;4630;3790;4.3;560;1.7
Copaifera sp.;Copaibarana;m;d;ma;7.5;4.9;12.7;0.56;0.72;1.16;9800;69.3;28.8;4.0;9.3;4620;4570;3.1;410;;Copaifera sp.;11800;93.4;61.4;7.0;11.5;7320;5770;3.0;460;1.5
Terminalia cf. argentea;Cuia;m;i;ol;9.8;5.8;15.2;0.80;0.97;1.25;14800;115.2;57.8;10.8;14.0;10120;10600;4.9;730;;Terminalia cf. argentea;15700;144.8;86.3;13.1;14.0;15720;1424;4.5;600;1.7
Buchenavia huberi;Cuiarana;mf;d;ol;9.1;6.0;14.7;0.79;1.04;1.24;13200;103.5;53.8;10.5;10.6;9560;9830;5.9;;;Buchenavia huberi;15600;158.0;85.3;;16.7;13580;11860;4.6;;1.5
Terminalia amazonica;Cuiarana;m;o;ol;7.8;5.2;12.8;0.80;1.03;1.24;11700;106.8;51.8;12.6;11.9;9020;9280;5.2;;;Terminalia amazonica ;14300;148.9;79.5;14.3;14.2;11660;10140;5.3;;1.5
Dipteryx odorata;Cumaru;m;r;am;8.4;5.4;13.5;0.91;1.07;1.28;16200;136.4;69.3;16.0;16.9;12920;13930;6.4;930;;Dipteryx odorata;18300;176.4;98.7;21.0;22.4;13390;16010;4.9;870;1.6
Goupia glabra;Cupiúba;m;r;ma;8.9;5.0;13.1;0.71;0.88;1.17;11800;92.1;47.1;9.3;12.1;7510;7050;5.2;690;;Goupia glabra;13000;118.4;66.2;12.9;15.5;11510;9740;;700;1.8
Goupia glabra;Cupiúba;m;r;;8.4;4.5;13.2;0.71;0.92;1.13;11700;91.6;48.5;9.4;12.5;7780;7470;6.6;730;;Goupia glabra;14900;134.0;68.9;14.8;14.8;10190;8300;4.2;560;1.9
Diclinanona calycina;Envira;m;d;ol;10.1;3.2;13.6;0.47;0.61;1.07;9000;64.9;27.5;;6.1;3270;3250;3.1;;;Diclinanona calycina;11300;95.4;49.8;;7.6;5160;4030;3.1;;3.2
Rollinia exsucca;Envira;m;d;ci;8.8;3.2;12.3;0.52;0.66;1.02;11600;75.4;36.6;3.9;7.9;4480;3810;;530;;Rollinia exsucca;12000;91.4;53.3;;8.6;5390;3920;;300;2.8
Xylopia nitida;Envira;m;d;ol;11.4;6.7;16.6;0.56;0.75;1.09;14100;69.4;35.5;3.5;7.9;4150;3450;3.1;370;;Xylopia nitida;16200;119.3;63.3;5.8;8.6;6690;5070;2.3;480;1.7
